"open","high","low","close","ADX","DI_plus","DI_minus","datetime"
"0","19737.9","19733.1","19736.3","0","0","0","2023-07-27 11:58:00"
"0","19736.9","19733.7","19734.4","0","0","0","2023-07-27 11:58:00"
"0","19737.2","19732.3","19732.3","0","0","0","2023-07-27 11:58:00"
"0","19736.1","19732.3","19735.9","0","0","0","2023-07-27 11:58:00"
"0","19737","19734.3","19736.3","0","0","0","2023-07-27 11:58:00"
"0","19738.6","19726.8","19727","0","0","0","2023-07-27 11:58:00"
"0","19728.3","19720.3","19721.1","0","0","0","2023-07-27 11:58:00"
"0","19724","19719.1","19722.9","0","0","0","2023-07-27 11:58:00"
"0","19727.8","19721.7","19726.2","0","0","0","2023-07-27 11:58:00"
"0","19730.3","19724.7","19729.7","0","0","0","2023-07-27 11:58:00"
"0","19735.5","19726.5","19734.7","0","0","0","2023-07-27 11:58:00"
"0","19743.8","19734.1","19743.2","0","0","0","2023-07-27 11:58:00"
"0","19744.3","19739","19744.2","0","0","0","2023-07-27 11:58:00"
"0","19744.7","19737.8","19742.7","0","0","0","2023-07-27 11:58:00"
"0","19744.7","19737.8","19742.7","0","23.732","19.9259","2023-07-27 11:58:00"
"0","19750.4","19741.6","19749.3","0","27.9401","17.8829","2023-07-27 11:59:00"
"0","19754.2","19748.2","19753.8","0","30.4182","16.6308","2023-07-27 12:00:00"
"0","19755.9","19750.4","19750.4","0","30.4499","15.5556","2023-07-27 12:01:00"
"0","19752.8","19750.1","19752.8","0","29.4436","15.4087","2023-07-27 12:02:00"
"0","19755.9","19751.7","19751.8","0","31.771","14.6004","2023-07-27 12:03:00"
"0","19755.9","19751.7","19751.8","0","30.0721","13.8196","2023-07-27 12:04:00"
"0","19746.8","19742.2","19744.1","0","26.5742","23.7228","2023-07-27 12:05:00"
"0","19747.2","19741.7","19744.3","0","24.7947","22.743","2023-07-27 12:06:00"
"0","19748.8","19742.7","19746.8","0","24.901","21.0588","2023-07-27 12:07:00"
"0","19747.1","19737.1","19740.7","0","22.0218","25.0988","2023-07-27 12:08:00"
"0","19743.6","19738.7","19743.3","0","20.7554","23.6555","2023-07-27 12:09:00"
"0","19743.5","19739.6","19742.3","0","19.7805","22.5443","2023-07-27 12:10:00"
"0","19746.4","19739.4","19744.1","16.9853","21.5825","20.6677","2023-07-27 12:11:00"
"0","19746","19739.2","19744.9","15.8828","19.8536","19.2476","2023-07-27 12:12:00"
"0","19745.2","19740.2","19741.9","14.859","18.6693","18.0995","2023-07-27 12:13:00"
"0","19745.9","19740.2","19743.6","14.0762","18.2334","16.8645","2023-07-27 12:14:00"
"0","19746.7","19738","19739.6","13.3471","16.3946","17.7139","2023-07-27 12:15:00"
"0","19741.3","19737.6","19739.8","12.7691","15.6708","17.4092","2023-07-27 12:16:00"
"0","19739.8","19731.4","19735.2","13.5459","14.1441","22.904","2023-07-27 12:17:01"
"0","19737.7","19733.2","19737.1","14.2672","13.3914","21.6851","2023-07-27 12:18:01"
"0","19738.8","19735.3","19738.8","14.5979","14.161","20.7598","2023-07-27 12:19:01"
"0","19739.8","19734.4","19739.7","14.5972","14.4495","19.3853","2023-07-27 12:20:01"
"0","19742.4","19738.1","19741.8","13.8426","16.9217","18.3439","2023-07-27 12:21:01"
"0","19744.7","19738.2","19743.1","13.1652","18.4066","16.8685","2023-07-27 12:22:01"
"0","19744.8","19741.6","19744.8","12.562","17.7817","16.1787","2023-07-27 12:23:01"
"0","19745.8","19742.9","19744.6","12.267","18.4227","15.5577","2023-07-27 12:24:01"
"0","19745.2","19740.3","19744.7","11.5501","17.22","18.006","2023-07-27 12:25:01"
"0","19745.7","19741.2","19743.4","10.7387","16.8495","16.914","2023-07-27 12:26:01"
"0","19743.9","19738.1","19738.9","10.8236","15.5413","19.7506","2023-07-27 12:27:01"
"0","19740","19735","19738.8","11.6096","14.4963","22.5914","2023-07-27 12:28:01"
"0","19740.1","19736.9","19739.2","12.3055","13.9927","21.5908","2023-07-27 12:29:01"
"0","19742.4","19737.8","19738.4","12.19","16.3031","20.2054","2023-07-27 12:30:01"
"0","19738.4","19730.3","19731","13.5872","14.5346","28.0578","2023-07-27 12:31:01"
"0","19731.6","19728.2","19730.2","15.2082","13.8552","29.6333","2023-07-27 12:32:01"
"0","19737.6","19730.8","19733.1","15.0623","20.4933","26.7072","2023-07-27 12:33:01"
"0","19735.2","19726.8","19727.8","15.6001","18.286","28.9596","2023-07-27 12:34:01"
"0","19728.2","19724.1","19724.1","16.5039","17.3062","30.9365","2023-07-27 12:35:01"
